"FECHA_CONT","MOVEMENT_TP","PDTO_ORIG","ALM_ORG","PDTO_DEST","ALM_DEST","VALOR","RELACION_TT","Mes","Año","DiasMes"
"2016-06-30","Tr. Material a material","CRUDO CAMPO CAÑADA NORTE","PR SAN JACINTO:MATERIA PRIMA","CRUDO MEZCLA","PR SAN JACINTO:MATERIA PRIMA",14669,"CAÑADA_NORTE_OAM",6,2016,30
"2016-06-30","Tr. Material a material","CRUDO CAMPO CAÑADA NORTE","PR SAN JACINTO:MATERIA PRIMA","CRUDO MEZCLA","PR SAN JACINTO:MATERIA PRIMA",9342.08,"CAÑADA_NORTE_OAM",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR CRETACEOS:MATERIA PRIMA","CRUDO MEZCLA","TR TENAY:MATERIA PRIMA",16264.87,"DINA-TENAY",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR ESTACION ESPINAL PPF:MATERIA PRIMA","CRUDO MEZCLA","TR TENAY-VASCONIA ECP-OAM:INV TRANSITO",106725,"ESPINAL-OAM",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR CRETACEOS:MATERIA PRIMA","CRUDO MEZCLA","TR TENAY:MATERIA PRIMA",344303.974,"DINA-TENAY",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR DINA TERCIARIO:MATERIA PRIMA","CRUDO MEZCLA","TR TENAY:MATERIA PRIMA",82696.236,"DINA-TENAY",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR ESTACION SANTANA:MATERIA PRIMA","CRUDO MEZCLA","TR OLEOD MANSOYA-ORITO-OMO:INV TRANSITO",75544.99,"SANTANA-OMO",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR CRETACEOS:MATERIA PRIMA","CRUDO MEZCLA","TR TENAY:MATERIA PRIMA",11555.12,"DINA-TENAY",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO CUSIANA","PR CUSIANA:MATERIA PRIMA","CRUDO CUSIANA","TR CUSIANA-CPF:MATERIA PRIMA",195100.07,"CUSIANA-OCSA",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR SANTIAGO:MATERIA PRIMA","CRUDO MEZCLA","TR SANTIAGO-PORVENIR:INV TRANSITO",29160.17,"SANTIAGO-CENIT",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR CARACARA:MATERIA PRIMA","CRUDO MEZCLA","TR SANTIAGO-PORVENIR:INV TRANSITO",140771.08,"JAGUAR-SANTIAGO",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR RIO PAEZ:MATERIA PRIMA","CRUDO MEZCLA","TR YAGUARA-TENAY:INV TRANSITO",1630.85,"HOCHA_OAM",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO CUPIAGUA","PR CUPIAGUA:MATERIA PRIMA","CRUDO CUPIAGUA","TR CUSIANA-CPF:MATERIA PRIMA",412183.73,"CUPIAGUA-OCSA",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO FLOREÑA","PR PIEDEMONTE:MATERIA PRIMA","CRUDO FLOREÑA","TR ARAGUANEY-BIC:MATERIA PRIMA",736464.54,"FLOREÑA_OBC",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR CARACARA:MATERIA PRIMA","CRUDO MEZCLA","TR SANTIAGO-PORVENIR:INV TRANSITO",16713.153,"JAGUAR-SANTIAGO",6,2016,30
"2016-06-30","Tr.trasladar ce a ce","CRUDO MEZCLA","PR CEGOC:MATERIA PRIMA","CRUDO MEZCLA","TR ARAGUANEY-BIC:MATERIA PRIMA",12014.16,"PERENCO-OBC",6,2016,30
