operationalDate,transferPoint,ownershipPercentage
2016-06-30,CAÑADA_NORTE_OAM,0.53
2016-06-30,CAÑO_LIMON_OCLC,0.58
2016-06-30,CICUCO-AYA,1
2016-06-30,CUPIAGUA-OCSA,0.84
2016-06-30,CUSIANA-OCSA,0.73
2016-06-30,DINA-TENAY,0.91
2016-06-30,ESPINAL-OAM,0.99
2016-06-30,FLOREÑA_OBC,0.6
2016-06-30,GUADUAS-OAM,0.02
2016-06-30,GUANDO-OAM,0.74
2016-06-30,HOCHA_OAM,0.05
2016-06-30,JAGUAR-SANTIAGO,0.33
2016-06-30,MB_GRB_18,0.38
2016-06-30,MELC-NARE,0.51
2016-06-30,ORITO-PR-TR,0.43
2016-06-30,PALAGUA-VAS,0.63
2016-06-30,PERENCO-OBC,0.16
2016-06-30,QUIFA-ODL,0.45
2016-06-30,RUBIALES-ODL,0.31
2016-06-30,SANTANA-OMO,0.16
2016-06-30,SANTIAGO-CENIT,1
2016-07-31,CAÑADA_NORTE_OAM,0.55
2016-07-31,CICUCO-AYA,1
2016-07-31,CUPIAGUA-OCSA,0.89
2016-07-31,CUSIANA-OCSA,0.93
2016-07-31,DINA-TENAY,0.9
2016-07-31,ESPINAL-OAM,0.98
2016-07-31,FLOREÑA_OBC,0.59
2016-07-31,GUADUAS-OAM,0.02
2016-07-31,GUANDO-OAM,0.75
2016-07-31,HOCHA_OAM,0.05
2016-07-31,JAGUAR-SANTIAGO,0.34
2016-07-31,MB_GRB_18,0.3
2016-07-31,MELC-NARE,0.51
2016-07-31,ORITO-PR-TR,0.52
2016-07-31,PALAGUA-VAS,0.63
2016-07-31,QUIFA-ODL,0.45
2016-07-31,RUBIALES-ODL,0.42
2016-07-31,SANTANA-OMO,0.2
2016-07-31,SANTIAGO-CENIT,1
2016-08-31,CAÑADA_NORTE_OAM,0.54
2016-08-31,CAÑO_LIMON_OCLC,0.56
2016-08-31,CICUCO-AYA,1
2016-08-31,CUPIAGUA-OCSA,0.85
2016-08-31,CUSIANA-OCSA,0.98
2016-08-31,DINA-TENAY,0.9
2016-08-31,ESPINAL-OAM,0.99
2016-08-31,FLOREÑA_OBC,0.57
2016-08-31,GUADUAS-OAM,0.02
2016-08-31,GUANDO-OAM,0.75
2016-08-31,HOCHA_OAM,0.05
2016-08-31,JAGUAR-SANTIAGO,0.34
2016-08-31,MB_GRB_18,0.33
2016-08-31,MELC-NARE,0.55
2016-08-31,ORITO-PR-TR,0.51
2016-08-31,PALAGUA-VAS,0.63
2016-08-31,PERENCO-OBC,0.35
2016-08-31,QUIFA-ODL,0.45
2016-08-31,RUBIALES-ODL,0.42
2016-08-31,SANTANA-OMO,0.24
2016-08-31,SANTIAGO-CENIT,1
2016-09-30,CAÑADA_NORTE_OAM,0.63
2016-09-30,CAÑO_LIMON_OCLC,0.56
2016-09-30,CICUCO-AYA,1
2016-09-30,CUPIAGUA-OCSA,0.86
2016-09-30,CUSIANA-OCSA,0.96
2016-09-30,DINA-TENAY,0.91
2016-09-30,ESPINAL-OAM,0.98
2016-09-30,FLOREÑA_OBC,0.57
2016-09-30,GUADUAS-OAM,0.02
2016-09-30,GUANDO-OAM,0.75
2016-09-30,HOCHA_OAM,0.05
2016-09-30,JAGUAR-SANTIAGO,0.35
2016-09-30,MB_GRB_18,0.37
2016-09-30,MELC-NARE,0.46
2016-09-30,ORITO-PR-TR,0.21
2016-09-30,PALAGUA-VAS,0.63
